LAI,Lwin,PPT,Pa,Rg,Ta,U,VPD,ea,ustar
0,300,0,99.2,0.000,-1.300,1.989,0.017,0.539,NaN
0,301,0,99.1,0.000,-1.200,1.833,0.015,0.545,NaN
0,301,0,99.1,0.000,-1.100,1.252,0.014,0.550,NaN
0,302,0,99.1,0.000,-1.100,0.671,0.012,0.551,NaN
0,302,0,99.1,0.000,-1.100,0.827,0.006,0.558,NaN
0,302,0,99.2,0.000,-1.100,0.983,0.003,0.561,NaN
0,302,0,99.1,0.000,-1.100,1.341,0.001,0.563,NaN
0,302,0,99.1,0.000,-1.400,1.699,0.000,0.552,NaN
0,302,0,99.1,0.000,-1.500,1.654,0.000,0.548,NaN
0,301,0,99.1,0.000,-1.500,1.609,0.000,0.548,NaN
0,297,0,99.9,0.000,-1.500,2.168,0.000,0.548,NaN
0,302,0,99.2,0.000,-1.600,2.727,0.000,0.544,NaN
0,301,0,99.2,0.000,-1.600,2.794,0.000,0.544,NaN
0,301,0,99.2,0.000,-1.600,2.861,0.000,0.544,NaN
0,301,0,99.2,0.000,-1.700,2.816,0.000,0.540,NaN
0,300,0,99.2,0.000,-1.800,2.772,0.000,0.536,NaN
0,300,0,99.2,0.000,-1.900,3.040,0.000,0.532,NaN
0,300,0,99.2,0.000,-1.700,3.308,0.000,0.540,NaN
0,301,0,99.3,0.000,-1.600,3.353,0.000,0.544,NaN
0,300,0,99.3,0.000,-1.700,3.398,0.000,0.540,NaN
0,300,0,99.4,0.000,-1.800,3.353,0.000,0.536,NaN
0,299,0,99.4,0.000,-1.900,3.308,0.000,0.532,NaN
0,299,0,99.5,0.000,-1.900,3.152,0.000,0.532,NaN
0,298,0,99.6,0.000,-2.000,2.995,0.000,0.528,NaN
0,298,0,99.7,0.000,-2.200,2.816,0.000,0.520,NaN
0,297,0,99.8,3.000,-2.300,2.638,0.000,0.516,NaN
0,298,0,99.8,18.000,-2.400,2.749,0.000,0.512,NaN
0,300,0,99.9,47.000,-2.300,2.861,0.000,0.516,NaN
0,302,0,99.9,76.000,-2.300,2.973,0.000,0.516,NaN
0,303,0,100,97.000,-2.400,3.085,0.000,0.512,NaN
0,303,0,100,86.500,-2.400,2.928,0.000,0.512,NaN
0,304,0,100.1,146.727,-2.500,2.772,0.000,0.509,NaN
0,307,0,100.1,173.000,-2.400,2.682,0.001,0.511,NaN
0,309,0,100,191.200,-2.400,2.593,0.012,0.501,NaN
0,309,0,100,205.300,-2.400,2.615,0.020,0.492,NaN
0,310,0,100,212.100,-2.400,2.638,0.026,0.486,NaN
0,311,0,100,215.000,-2.400,2.213,0.024,0.488,NaN
0,308,0,100,209.400,-2.400,1.788,0.030,0.483,NaN
0,308,0,100,200.200,-2.400,1.520,0.032,0.481,NaN
0,307,0,100,174.000,-2.400,1.252,0.044,0.469,NaN
0,306,0,100,91.000,-2.400,1.028,0.048,0.464,NaN
0,305,0,100,112.000,-2.400,0.805,0.043,0.469,NaN
0,302,0,100.1,70.000,-2.500,1.274,0.039,0.470,NaN
0,297,0,100,26.000,-2.800,1.743,0.027,0.471,NaN
0,291,0,100.1,2.000,-3.200,1.878,0.008,0.475,NaN
0,291,0,100.1,0.000,-3.500,2.012,0.001,0.471,NaN
0,293,0,100.1,0.000,-3.100,2.146,0.007,0.479,NaN
0,294,0,100.1,0.000,-3.000,2.280,0.011,0.479,NaN
0,294,0,100.1,0.000,-2.800,2.213,0.018,0.479,NaN
0,294,0,100.1,0.000,-2.800,2.146,0.017,0.480,NaN
0,295,0,100.1,0.000,-2.700,2.481,0.020,0.482,NaN
0,294,0,100.1,0.000,-3.000,2.816,0.007,0.483,NaN
0,294,0,100.1,0.000,-3.000,3.040,0.004,0.486,NaN
0,295,0,100,0.000,-2.900,3.263,0.005,0.488,NaN
0,294,0,100,0.000,-3.100,3.398,0.002,0.484,NaN
0,294,0,100,0.000,-3.000,3.532,0.003,0.487,NaN
0,295,0,100,0.000,-2.700,3.666,0.012,0.490,NaN
0,295,0,100,0.000,-2.600,3.800,0.012,0.493,NaN
0,312,0,99.2,0.000,-2.000,4.068,0.020,0.508,0.3373
0,298,0,99.9,0.000,-1.800,4.336,0.018,0.518,NaN
0,299,0,99.9,0.000,-1.600,4.359,0.014,0.530,NaN
0,300,0,99.8,0.000,-1.300,4.381,0.019,0.536,NaN
0,301,0,99.8,0.000,-1.100,4.761,0.024,0.540,NaN
0,302,0,99.8,0.000,-1.000,5.141,0.022,0.546,NaN
0,302,0,99.7,0.000,-0.900,5.543,0.021,0.551,NaN
0,303,0,99.7,0.000,-0.700,5.946,0.016,0.564,NaN
